name,Lat,Long,fclass
Las Salsa's,29.4535479,-98.4989906,restaurant
Bananas,29.4530551,-98.4995377,restaurant
Stefania's Country Italian,29.4565887,-98.4991059,restaurant
Taco Cabana,29.46622,-98.4990359,fast_food
Jim's,29.4667851,-98.4987607,restaurant
Walgreens,29.4669813,-98.4997609,pharmacy
La Morita Fruit Cups,29.4429776,-98.4916807,fast_food
Little Taco Factory,29.4431698,-98.4916217,fast_food
McCullough Grocery,29.4442583,-98.4915332,convenience
Regio Cafe,29.4453327,-98.4915815,restaurant
Saigon Express,29.4450583,-98.4915436,restaurant
Subway,29.4447543,-98.4944456,fast_food
Alamo Fiesta on Main,29.4489139,-98.4945131,restaurant
La Fonda on Main,29.4525025,-98.4941589,restaurant
Capparelli's on Main,29.453689,-98.4937485,restaurant
Laurel Heights Pharmacy,29.4540533,-98.4937819,pharmacy
Sweet Designs Bake Shop Deli,29.4536155,-98.4924515,cafe
The Cove,29.4402691,-98.5007307,restaurant
La Michoacana Meat Market,29.4374742,-98.5021174,supermarket
MK Davis,29.4380325,-98.5025573,restaurant
Tre Trattoria,29.4373641,-98.4815217,restaurant
Visitor's Center Museum,29.4311015,-98.4922459,museum
Copper Kitchen,29.4310505,-98.4920359,restaurant
La Antorcha de la Amistad,29.4235036,-98.4874535,memorial
La Antorcha de la Amistad,29.4235036,-98.4874535,artwork
Blue Star Brewery,29.4094855,-98.4952827,pub
Joe Blues,29.4092238,-98.4954436,cafe
San Angel Folk Art,29.4094598,-98.4955912,museum
Jump Start Theater,29.4095848,-98.4956475,theatre
Guardian Angel Performance Arts Academy,29.4095918,-98.4960176,school
Bent Easel Art Gallery,29.4088943,-98.4957601,museum
Cactus Bra Gallery,29.4095089,-98.4956099,museum
Alba DeLeon Studio,29.4094131,-98.4955724,museum
Stone Metal Press,29.4093523,-98.4955482,museum
ArmonArt,29.4097962,-98.49539,museum
Magical Realism Photography Studio,29.4092845,-98.4955241,museum
Fig Tree,29.4218605,-98.4882913,restaurant
Buckhorn Saloon and Museum,29.4263278,-98.488853,pub
Buckhorn Saloon and Museum,29.4263278,-98.488853,museum
River boat boarding,29.4235094,-98.4845536,attraction
River boat boarding,29.4228301,-98.4880501,attraction
River boat boarding,29.4250675,-98.4907975,attraction
boat ride boarding,29.4332692,-98.4846044,attraction
Magnolia Pancake Haus,29.5641671,-98.4889308,restaurant
