name,Lat,Long,fclass
Fallsburg Junior Senior High School,41.7323137,-74.6143268,school
Hancock Central High School,41.9570308,-75.2810058,school
Cattaraugus Central High School,42.3339509,-78.8594788,school
Gowanda High School,42.4646171,-78.947412,school
Silver Creek Central School,42.5328363,-79.1636509,school
Skaneateles High School,42.9514251,-76.4209483,school
Central Rural School,41.8073108,-74.8846078,school
Yorktown Community Center,41.275967,-73.7814482,tourist_info
Somers Middle School,41.326483,-73.6948528,school
Eldred Central School,41.5295065,-74.8805589,school
Marlboro Elementary School,41.6087047,-73.9712499,school
Central School,41.7595361,-74.597104,school
Central School,41.8034224,-74.7459945,school
Livingston Manor Central School,41.9028667,-74.8265499,school
Rhinebeck High School,41.9253702,-73.9004127,school
Central School,42.0786982,-74.997942,school
Windsor Elementary School,42.0828572,-75.6415732,school
Bemus Point Elementary School,42.1611686,-79.3878256,school
Central School,42.1614457,-79.5936591,school
Scio Central School,42.1722906,-77.9763925,school
Candor Elementary School,42.2306296,-76.3379911,school
Former Central School Building,42.3042346,-78.014172,school
Central School,42.32978,-79.5686584,school
Newfield Central School,42.3592402,-76.5957786,school
Central School,42.383391,-79.4528242,school
Central School,42.3853797,-78.2539573,school
Gilboa-Conesvill Central School,42.3920251,-74.4409803,school
Central School,42.4653886,-78.1187107,school
Central School,42.4925627,-78.4780755,school
Central School,42.5345191,-75.3804527,school
Central School,42.6620154,-76.617167,school
Central School,42.7906675,-77.5030038,school
Francis L Stevens Elementary School,42.9100086,-73.8824196,school
Akron Central School,43.0242258,-78.4903015,school
Weedsport Elementary School,43.0506215,-76.5574416,school
Central School,43.074467,-78.1895991,school
Central School,43.583958,-75.3426752,school
Central School,43.6495108,-73.8023485,school
Johnsburg Central School,43.6939494,-73.9845701,school
Lowville Academy Central School,43.7897534,-75.4923155,school
Central School,44.2350468,-76.0807756,school
Peru Central School District,44.5817123,-73.5359697,school
Central School,42.7128408,-77.8738916,school
Champlain Central High School,44.9900387,-73.4148574,school
Chapel Hill School,42.2614723,-75.2110051,school
Charles F Johnson School,42.093408,-76.0810364,school
Charlotte Avenue School,42.7253372,-78.8169764,school
Chase School,41.5725936,-74.4843252,school
Chateaugay Park,44.9089337,-74.0754395,park
Cheever School,44.0767212,-73.4559589,school
Chenango Forks Central School,42.243409,-75.850195,school
Chenango School,42.0470152,-77.4769294,school
Chenango Valley Central School,42.1625758,-75.8713059,school
Cherry Lane Elementary School,40.7523245,-73.6062926,school
Cherry Plain School,42.6381251,-73.3581988,school
Chestnut Grove School,41.1247682,-74.0034352,school
Chestnut Street School,41.5012049,-74.0437527,school
Chittenango Station School,43.0867341,-75.8749137,school
Christ the King School,40.9595428,-73.8862464,school
Christophers School,43.0275572,-78.8228129,school
Church Street School,41.0412083,-73.7712434,school
Church Street School,41.7131491,-74.3937656,school
Churchville-Chili High School,43.1183946,-77.8344529,school
Circle Hill School,40.8609313,-73.2792824,school
W. Tresper Clarke High School,40.7473647,-73.5649884,school
Clarkstown North Senior High School,41.1509783,-73.9702697,school
Clary Middle School,42.9967328,-76.1460354,school
Cleary School,40.8334315,-73.1376114,school
Cleveland Avenue School,43.1072777,-79.0469888,school
Cleveland School,42.8783917,-78.7941992,school
Clinton Junior High School,42.8836691,-78.8617016,school
Clinton School,43.0550666,-76.1368684,school
Clinton School,43.1800769,-78.6852508,school
Clove School,41.6639827,-73.6779065,school
Cobb School,42.7845227,-73.406501,school
Coburn School,42.0797965,-76.8049559,school
Cochran Park,40.9345432,-73.8870799,park
Coe Hill School,42.4173029,-74.9959948,school
Coes Neck Park,40.6803798,-73.6090173,park
Coessens Park,42.9281357,-74.1757355,park
Cohen School,42.1264634,-76.8305125,school
Cold Spring Institute,41.4328714,-73.8670802,school
Cold Spring School Number 3,42.1081167,-78.9067043,school
Coldbrook School,42.0659075,-76.7846771,school
Cole Hill School,42.8478479,-75.4290623,school
Colonel Williams Monument,43.3771434,-73.7003289,monument
Colonel Williams Monument,43.3771434,-73.7003289,park
Colonial School,40.9037105,-73.8084667,school
Genesee Community Charter School - River City Campus,43.1515077,-77.5887009,school
Columbian School,42.3266364,-77.653726,school
Columbus Avenue School,41.0787077,-73.7770771,school
Columbus Public School Number 10,40.9168689,-73.837797,school
Columbus School,41.1087073,-73.7737439,school
Columbus School,41.7044192,-73.9343819,school
Consolata Mission Seminary,42.9733915,-78.7075304,school
Continental School,42.8120177,-74.8487614,school
George L Cooke School,41.6481467,-74.6787725,school
Cooper School,40.976487,-73.7995773,school
Cornelius Duggan School,41.6792561,-74.8259969,school
Corning Community College,42.1172506,-77.0732599,school
Corpus Christi School,40.7451012,-73.6373511,school
E.G Wilson High School,43.1861724,-77.7822299,school
Living Word Academy,43.0859003,-76.0963116,school
Cow Meadow Preserve,40.6334358,-73.5695723,park
Crab Meadow Park,40.9223201,-73.3223384,park
Craig State School,42.6850479,-77.8377802,school
Crow Hill School,41.936759,-73.8856898,school
Cure of Ars School,40.6612988,-73.5503041,school
Cutchogue School,41.0137118,-72.4856414,school
Cutter Mill School,40.7775029,-73.7341077,school
Dablon Monument,44.0731105,-76.3610548,park
Dairy Hill School,43.2072914,-74.8884875,school
Danby School,42.3592401,-76.4913296,school
George M Davis Elementary School,40.9739709,-73.7852775,school
Dawnwood Middle School,40.8742991,-73.089503,school
Dayton Branch Gowanda Central School,42.4172831,-78.9819812,school
DeSales Elementary and Middle School,43.1808906,-78.6578088,school
Dean School,42.1839478,-79.1628223,school
K.A. Deasy Elementary School,40.8710064,-73.6297216,school
Delaware Academy and Central School,42.2720291,-74.9146057,school
Delaware Academy School,43.0387499,-76.1732783,school
Delaware Valley Central School,41.8089771,-75.0685009,school
Dempsey School,43.1275696,-75.0515473,school
Dexters Terrace School,43.0133906,-78.825035,school
Daniel S Dickinson School,42.1064644,-75.9238075,school
District Number 1 Union Free School,41.2498167,-73.6926308,school
District Number 2 School,42.5745042,-79.0297595,school
District School,43.2322778,-78.90893,school
District School Number 8,41.2367613,-74.4123774,school
Diven Elementary School,42.1067114,-76.8072857,school
Dix Hills Park,40.8173206,-73.3315071,park
Dodge Vocational High School,40.8178785,-73.9115255,school
Don Bosco Juniorate,41.2134277,-74.0079185,school
Dongan Place,41.7080455,-73.9352412,park
Doolittle School,42.9764588,-75.3051661,school
Anne M Dorner Middle School,41.1745039,-73.8598586,school
Drake School,43.064501,-78.8975384,school
Draper School,42.7078564,-73.57456,school
Dryden High School,42.5009053,-76.3104891,school
Dutchess Day School,41.7759271,-73.6648503,school
Dutchtown School,42.9784051,-74.7140345,school
Duzine Elementary School,41.7595377,-74.0745868,school
Eagle Hill Middle School,42.9964552,-75.9568623,school
East Eden School,42.6650599,-78.8333655,school
East High School,42.9078358,-78.8364232,school
Auburn Junior High School,42.9430617,-76.546107,school
East Middle Patent School,41.1628736,-73.6298499,school
East Playground,43.3149584,-73.6263314,playground
Public School 151,40.6933246,-73.908228,school
Eastchester High School,40.960654,-73.8098555,school
Eastman Park,41.6978713,-73.9323594,park
Kilbourn Hall,43.1574855,-77.6013456,theatre
Echo Park Swimming Complex,40.6962133,-73.6592964,sports_centre
Edgeworth School,42.0631298,-76.7963444,school
Edison School,42.1070201,-75.9038066,school
Edison School,42.986724,-78.8453132,school
Edison Tech School,40.9096786,-73.8355789,school
Eggert Road School,42.7867259,-78.7522526,school
Intermediate School 131,40.8235106,-73.8601863,school
Eisenhower Memorial Park,40.7328785,-73.5651269,park
Eldridge Park,42.1170188,-76.8171786,park
Ellenville Central School,41.7187046,-74.3884876,school
Elma Centennial Park,42.8225596,-78.5844695,park
Elmwood Franklin School,42.9431132,-78.8608689,school
Elwood Park,40.8494003,-73.3364316,park
Cross Hill Academy,40.9631538,-73.8779129,school
Emery Park,42.7145047,-78.5953025,park
Emory Park,42.1181136,-79.2336588,park
Enders Road Elementary School,42.9989552,-75.9568623,school
Endwell Junior High School,42.1350747,-76.0246454,school
Erasmus Hall High School,40.6495482,-73.9559714,school
Poolsbrook Picnic Area,43.0736109,-75.9212367,picnic_site
Erie Street School,43.3286796,-76.409936,school
Evangola State Park,42.6067254,-79.1017058,park
